epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9493,2.84023,3.90506,0,2.49264,1.78106,0.24231,0.12082,0.0751,0.01269,0.6218,0.31004,0.45714,0.22227,3.97523,3.08431,0,2.62089,2.49866,0.000325,0.000325,0.067825
2,71.7218,1.45961,1.05745,0,0.79237,1.02895,0.81898,0.86212,0.8606,0.30034,0.85493,0.9077,0.934,0.68519,2.05088,1.09727,0,1.35819,1.27288,0.000656548,0.000656548,0.0348232
3,100.798,1.25088,0.66914,0,0.68055,0.96031,0.90584,0.95189,0.96906,0.58575,0.91115,0.96019,0.97512,0.85694,1.19194,0.55741,0,0.82156,0.90673,0.00098094,0.00098094,0.00181427
4,130.011,1.17609,0.484,0,0.62602,0.93444,0.95377,0.97139,0.98491,0.61496,0.95841,0.97657,0.98867,0.93803,1.10426,0.37909,0,0.6538,0.88515,0.000975773,0.000975773,0.000975773
5,158.873,1.08945,0.38206,0,0.57874,0.91169,0.97097,0.97742,0.9901,0.66837,0.97289,0.98127,0.99172,0.93563,1.11912,0.31432,0,0.58026,0.89125,0.000957205,0.000957205,0.000957205
6,187.544,1.01367,0.31978,0,0.53971,0.89742,0.9781,0.97845,0.99213,0.71889,0.98218,0.98182,0.99343,0.96938,0.97638,0.24777,0,0.51354,0.85561,0.000933683,0.000933683,0.000933683
7,216.342,1.02119,0.27646,0,0.51328,0.89483,0.973,0.97947,0.9926,0.71666,0.97684,0.9855,0.99355,0.9662,0.96239,0.2549,0,0.50688,0.85143,0.000905463,0.000905463,0.000905463
8,245.12,1.02214,0.27162,0,0.51181,0.89193,0.97746,0.98441,0.99266,0.71492,0.97974,0.98872,0.99368,0.97616,0.99038,0.21035,0,0.49924,0.85727,0.000872857,0.000872857,0.000872857
9,273.991,0.94788,0.23303,0,0.48104,0.87788,0.98022,0.98574,0.9933,0.73034,0.98256,0.98809,0.99403,0.98232,0.96098,0.16864,0,0.48176,0.85272,0.00083622,0.00083622,0.00083622
10,302.895,0.9281,0.21128,0,0.46876,0.87174,0.98368,0.98253,0.99357,0.77139,0.98405,0.98596,0.99393,0.98417,0.84894,0.16078,0,0.45571,0.834,0.000795954,0.000795954,0.000795954
11,331.841,0.89524,0.19452,0,0.45467,0.86624,0.98335,0.98579,0.99358,0.73743,0.98386,0.98842,0.99402,0.98349,0.96306,0.15326,0,0.46692,0.85525,0.0007525,0.0007525,0.0007525
12,360.804,0.88314,0.18447,0,0.44639,0.85914,0.9853,0.98208,0.99384,0.74546,0.98611,0.98465,0.9941,0.98439,0.90291,0.14667,0,0.45023,0.84107,0.000706335,0.000706335,0.000706335
13,389.829,0.86924,0.17667,0,0.43994,0.85836,0.98217,0.98692,0.99402,0.74025,0.98341,0.98902,0.99417,0.98501,0.9518,0.14409,0,0.45086,0.84902,0.000657963,0.000657963,0.000657963
14,418.705,0.84809,0.15525,0,0.42811,0.85173,0.98143,0.98975,0.99416,0.78576,0.9823,0.9916,0.99434,0.98648,0.79102,0.13151,0,0.41009,0.82461,0.000607916,0.000607916,0.000607916
15,447.663,0.82312,0.15264,0,0.41613,0.85022,0.98383,0.98214,0.99367,0.73915,0.98542,0.98433,0.99407,0.98396,0.91997,0.14036,0,0.45693,0.84483,0.000556742,0.000556742,0.000556742
16,476.619,0.82373,0.14923,0,0.41384,0.84711,0.98453,0.98582,0.99418,0.75074,0.98524,0.98778,0.99434,0.98633,0.89941,0.12148,0,0.43464,0.84213,0.000505,0.000505,0.000505
17,505.442,0.79869,0.1445,0,0.40215,0.84452,0.98179,0.98684,0.99399,0.75918,0.98339,0.98934,0.99428,0.98677,0.87876,0.12231,0,0.42442,0.83594,0.000453258,0.000453258,0.000453258
18,534.444,0.78929,0.14018,0,0.39498,0.84365,0.98461,0.98759,0.99435,0.7642,0.98441,0.98945,0.99441,0.98795,0.863,0.11594,0,0.41424,0.83627,0.000402084,0.000402084,0.000402084
19,563.311,0.77095,0.12836,0,0.38582,0.83631,0.98608,0.98707,0.99435,0.79312,0.98732,0.98871,0.99448,0.98835,0.7725,0.10994,0,0.38961,0.81966,0.000352037,0.000352037,0.000352037
20,592.089,0.7619,0.12743,0,0.3796,0.8364,0.9853,0.98717,0.99426,0.77868,0.98672,0.98887,0.99443,0.98802,0.81965,0.11027,0,0.39699,0.82961,0.000303665,0.000303665,0.000303665
21,628.097,0.75411,0.12407,0,0.37587,0.83612,0.98532,0.98692,0.99441,0.79323,0.98618,0.98887,0.99451,0.98825,0.77644,0.10712,0,0.38367,0.82025,0.0002575,0.0002575,0.0002575
22,657.029,0.7365,0.11706,0,0.3667,0.8304,0.98492,0.98598,0.99441,0.79803,0.98558,0.98778,0.9945,0.98842,0.76233,0.10977,0,0.37772,0.81853,0.000214046,0.000214046,0.000214046
23,685.975,0.73854,0.11506,0,0.36428,0.83144,0.98485,0.98826,0.99433,0.79845,0.98619,0.99009,0.99447,0.9877,0.73694,0.10358,0,0.36901,0.8156,0.00017378,0.00017378,0.00017378
24,714.931,0.73701,0.11664,0,0.36351,0.83274,0.98508,0.98723,0.99437,0.80669,0.98567,0.98966,0.99454,0.98815,0.73173,0.09989,0,0.36624,0.81549,0.000137143,0.000137143,0.000137143
25,744.021,0.7274,0.11564,0,0.36045,0.82907,0.98549,0.98864,0.99444,0.79966,0.98666,0.98997,0.99454,0.98856,0.75849,0.10472,0,0.36987,0.81774,0.000104537,0.000104537,0.000104537
26,772.784,0.71163,0.10529,0,0.35349,0.8248,0.98656,0.98676,0.99442,0.81128,0.98634,0.98998,0.99458,0.9892,0.71384,0.09746,0,0.35916,0.81326,7.63174e-05,7.63174e-05,7.63174e-05
27,801.56,0.69963,0.10611,0,0.34861,0.82711,0.98623,0.98757,0.99442,0.81183,0.98735,0.98927,0.9946,0.9892,0.71411,0.09618,0,0.35898,0.81271,5.2795e-05,5.2795e-05,5.2795e-05
28,830.353,0.70078,0.11016,0,0.35024,0.82541,0.98475,0.98833,0.99442,0.81279,0.9858,0.9897,0.99457,0.98918,0.70907,0.0966,0,0.35582,0.81217,3.4227e-05,3.4227e-05,3.4227e-05
29,859.352,0.69614,0.10386,0,0.3452,0.82549,0.98677,0.98791,0.9945,0.81076,0.98764,0.98904,0.99459,0.98924,0.71439,0.09625,0,0.35524,0.81259,2.08169e-05,2.08169e-05,2.08169e-05
30,888.167,0.69048,0.10318,0,0.34561,0.82428,0.98498,0.9888,0.99451,0.81177,0.98573,0.99013,0.99458,0.98945,0.71584,0.09604,0,0.35598,0.81239,1.27117e-05,1.27117e-05,1.27117e-05
